Label,Degree,PageRank,Eigenvector Centrality
David Alves,0,0.0,0.0
Robert Evans,0,0.0,0.0
Wil Wright,0,0.0,0.0
Sean Bonner,0,0.0,0.0
Rosemary Kitchen,0,0.0,0.0
Neil Ticktin,0,0.0,0.0
James Allen Johnson,0,0.0,0.0
Gregory Han,0,0.0,0.0
Alex Wollenschlaeger,0,0.0,0.0
rt,6,8.114785345920482E-4,0.0
lindros2,0,0.0,0.0
davester13,14,8.114785345920482E-4,0.0
JoeBlake,2,8.114785345920482E-4,0.0
black.dragon.slayer17,8,8.114785345920482E-4,0.0
alasdairtuaw,6,8.114785345920482E-4,0.0
macrumpton,0,0.0,0.0
wesleypitts,0,0.0,0.0
BrandonStubbs,0,0.0,0.0
SlobieTaboobie,4,8.114785345920482E-4,0.0
gernatch,0,0.0,0.0
ragancb,0,0.0,0.0
rfarrell7,0,0.0,0.0
adrayven,8,8.114785345920482E-4,0.0
gerard,2,8.114785345920482E-4,0.0
RondanArt,0,0.0,0.0
Truffol,2,8.114785345920482E-4,0.0
ICTtower,3,8.114785345920482E-4,0.0
DougJacobs,0,0.0,0.0
MichaelHammond,1,8.114785345920482E-4,0.0
PhillipSmith,0,0.0,0.0
danranda99,0,0.0,0.0
Arnan,12,8.114785345920482E-4,0.0
filedime,0,0.0,0.0
sxflynn,0,0.0,0.0
Pajter,0,0.0,0.0
cybersecurity,0,0.0,0.0
cypherpunk1,0,0.0,0.0
Growmac,0,0.0,0.0
ksyed0,3,8.114785345920482E-4,0.0
MdNuruzzaman,0,0.0,0.0
Chris.,5,8.114785345920482E-4,0.0
JaydelManticahon,0,0.0,0.0
AliceMikeyEve,0,0.0,0.0
BuzzMega,0,0.0,0.0
SteveAustin,12,8.114785345920482E-4,0.0
nearmeLLC,0,0.0,0.0
patchedreality,0,0.0,0.0
DavidConner,0,0.0,0.0
hanhpho,0,0.0,0.0
Jeff Poulton,0,0.0,0.0
TwisterMc,0,0.0,0.0
miketrose,13,8.114785345920482E-4,0.0
levo,0,0.0,0.0
hal.sherman,9,8.114785345920482E-4,0.0
Tumbleweed,0,0.0,0.0
yeyepyeyep,0,0.0,0.0
MarcBlaydoe,3,8.114785345920482E-4,0.0
Bieber,8,8.114785345920482E-4,0.0
nccomp,3,8.114785345920482E-4,0.0
jodamiller,4,8.114785345920482E-4,0.0
Derision667,0,0.0,0.0
rotopenguin,1,8.114785345920482E-4,0.0
JamesHusted,6,8.114785345920482E-4,0.0
Ancillary,0,0.0,0.0
davidventer,0,0.0,0.0
LaneJasper,7,8.114785345920482E-4,0.0
richard.j.ludwig,10,8.114785345920482E-4,0.0
protagonistic,5,8.114785345920482E-4,0.0
bluefox,0,0.0,0.0
alchemistmuffin,11,8.114785345920482E-4,0.0
Peter1,8,8.114785345920482E-4,0.0
prince_david,5,8.114785345920482E-4,0.0
chuck5566,0,0.0,0.0
Troy,0,0.0,0.0
neu.drax,4,8.114785345920482E-4,0.0
mdriegler,2,8.114785345920482E-4,0.0
ila225,9,8.114785345920482E-4,0.0
marcusdiddle,2,8.114785345920482E-4,0.0
David G.,0,0.0,0.0
cbpp,0,0.0,0.0
mghnyc,0,0.0,0.0
craigalanstanton,10,8.114785345920482E-4,0.0
vdev,11,8.114785345920482E-4,0.0
ArinFailing,5,8.114785345920482E-4,0.0
jabbathewocket1,5,8.114785345920482E-4,0.0
AlexAndrews,0,0.0,0.0
Chas,0,0.0,0.0
ckm8kng2,0,0.0,0.0
Big John,4,8.114785345920482E-4,0.0
NoOne,0,0.0,0.0
teaandtoms,0,0.0,0.0
Guid0,0,0.0,0.0
JasonAnderson,11,8.114785345920482E-4,0.0
idea2go,0,0.0,0.0
TerrenceNewton,13,8.114785345920482E-4,0.0
Tom81-,0,0.0,0.0
Maggie,0,0.0,0.0
jaydeevroy,0,0.0,0.0
Plantastic,0,0.0,0.0
thejimmylittle,0,0.0,0.0
attgc,3,8.114785345920482E-4,0.0
MikeDurkin,4,8.114785345920482E-4,0.0
codycook,0,0.0,0.0
TimTringle,7,8.114785345920482E-4,0.0
Aybara,0,0.0,0.0
OllieMcPhee,1,8.114785345920482E-4,0.0
bizarrefoodie,6,8.114785345920482E-4,0.0
staysafeandblessed,0,0.0,0.0
KevinMercado,6,8.114785345920482E-4,0.0
AlexAnze,0,0.0,0.0
Mabhatter,10,8.114785345920482E-4,0.0
JohnRoss,6,8.114785345920482E-4,0.0
gshearman,7,8.114785345920482E-4,0.0
marook,4,8.114785345920482E-4,0.0
emaba,0,0.0,0.0
SulaymanF,0,0.0,0.0
iAlan,0,0.0,0.0
xxdesmus,0,0.0,0.0
thefinalmonster,4,8.114785345920482E-4,0.0
DavidRavenMoon,6,8.114785345920482E-4,0.0
bdlatimer,0,0.0,0.0
markporschke1,0,0.0,0.0
DaleMilander,0,0.0,0.0
PeterMavy,5,8.114785345920482E-4,0.0
gacbmmml,13,8.114785345920482E-4,0.0
Richard_Milewski,0,0.0,0.0
frank.lowney,8,8.114785345920482E-4,0.0
tempoai,0,0.0,0.0
mobileraj,0,0.0,0.0
JohnVanderbeck,0,0.0,0.0
DavidRogoff,0,0.0,0.0
javierplumey,0,0.0,0.0
JoeRud,0,0.0,0.0
rob_damiani,0,0.0,0.0
t3rminus,7,8.114785345920482E-4,0.0
bruce.selzler,0,0.0,0.0
bwaldie,1,8.114785345920482E-4,0.0
IamDorv,0,0.0,0.0
RobertMarrero,10,8.114785345920482E-4,0.0
gnarlodious,8,8.114785345920482E-4,0.0
bluemonq,11,8.114785345920482E-4,0.0
hackeroftoday,0,0.0,0.0
121applesolutions,6,8.114785345920482E-4,0.0
thelasttimelawd,0,0.0,0.0
Spike,3,8.114785345920482E-4,0.0
SuperShilly1,1,8.114785345920482E-4,0.0
afriend78,11,8.114785345920482E-4,0.0
iSRS,11,8.114785345920482E-4,0.0
ijimbot,8,8.114785345920482E-4,0.0
dapperbeanie,17,8.114785345920482E-4,0.0
MikeSabino,0,0.0,0.0
vjthuesen,0,0.0,0.0
EmperorToro,0,0.0,0.0
mlkaufman,0,0.0,0.0
mattlongman,0,0.0,0.0
MikeWehner,2,8.114785345920482E-4,0.0
ShannonDoherty,7,8.114785345920482E-4,0.0
echomrg,2,8.114785345920482E-4,0.0
ChristoMax,0,0.0,0.0
FrankLowney,7,8.114785345920482E-4,0.0
andy.simmons,0,0.0,0.0
SamFrench,0,0.0,0.0
valiant,0,0.0,0.0
JoeBelkin,4,8.114785345920482E-4,0.0
ulyssesric,10,8.114785345920482E-4,0.0
JustAGuyOnline,12,8.114785345920482E-4,0.0
narayanroger,0,0.0,0.0
Commentzilla,0,0.0,0.0
michaelrygaard,9,8.114785345920482E-4,0.0
martin_kelley,0,0.0,0.0
MirandaKaliSelene,0,0.0,0.0
DerekWildstar,0,0.0,0.0
Axbax,0,0.0,0.0
glusk,0,0.0,0.0
AndrewHolybee,0,0.0,0.0
minitoni,0,0.0,0.0
FrivGames8,1,8.114785345920482E-4,0.0
eceset,0,0.0,0.0
Mark,11,8.114785345920482E-4,0.0
shaunisadirty,11,8.114785345920482E-4,0.0
s.janich,9,8.114785345920482E-4,0.0
johnsonbrentp,6,8.114785345920482E-4,0.0
smoke_tetsu,2,8.114785345920482E-4,0.0
JohnnySlapstick,5,8.114785345920482E-4,0.0
Joel,0,0.0,0.0
AarghaKnot,12,8.114785345920482E-4,0.0
dremeljunkie,0,0.0,0.0
orangedoolaid,0,0.0,0.0
shdwghst457,10,8.114785345920482E-4,0.0
AriX,5,8.114785345920482E-4,0.0
CalicoAvenger,7,8.114785345920482E-4,0.0
firetwuck,4,8.114785345920482E-4,0.0
iPadCary,3,8.114785345920482E-4,0.0
The_Jimmy_James,2,8.114785345920482E-4,0.0
SeniorA.Titude,6,8.114785345920482E-4,0.0
JackZiegler,0,0.0,0.0
thisispete,4,8.114785345920482E-4,0.0
Bertil,0,0.0,0.0
thathang3,0,0.0,0.0
huguessc,6,8.114785345920482E-4,0.0
KarenShelton,0,0.0,0.0
mkonapelsky,0,0.0,0.0
JohnSebastian,0,0.0,0.0
newp,0,0.0,0.0
I,2,8.114785345920482E-4,0.0
Jacint Tordai,0,0.0,0.0
luxl85,1,8.114785345920482E-4,0.0
ChrisGrayHollomon,0,0.0,0.0
DetrichWong,4,8.114785345920482E-4,0.0
Rex,0,0.0,0.0
incredibillhulk,0,0.0,0.0
AndrewSmith,6,8.114785345920482E-4,0.0
lenbanks1964,4,8.114785345920482E-4,0.0
CMM5150,0,0.0,0.0
noonehere,1,8.114785345920482E-4,0.0
mayzilla,0,0.0,0.0
Rick_Truell,10,8.114785345920482E-4,0.0
EricCarroll,2,8.114785345920482E-4,0.0
planetstrike,0,0.0,0.0
macgrant,0,0.0,0.0
ChrisSkinner,3,8.114785345920482E-4,0.0
whattha,0,0.0,0.0
iphonerulez,0,0.0,0.0
WhiteLotus,0,0.0,0.0
vasic,0,0.0,0.0
AdanSantos,2,8.114785345920482E-4,0.0
BillyRand,0,0.0,0.0
tpl,0,0.0,0.0
Who_Needs_Maps,0,0.0,0.0
AlicZhou,0,0.0,0.0
Lumsingkeyboard,0,0.0,0.0
jachim,8,8.114785345920482E-4,0.0
freedman1,0,0.0,0.0
naseerkhan,0,0.0,0.0
korbatz,0,0.0,0.0
coalakida1,9,8.114785345920482E-4,0.0
WayneBeasley,5,8.114785345920482E-4,0.0
mcargument,11,8.114785345920482E-4,0.0
hmlong,10,8.114785345920482E-4,0.0
ToniPaneto,0,0.0,0.0
auribe14,0,0.0,0.0
dtmcbrayer,0,0.0,0.0
LisaJ,0,0.0,0.0
Grantski,0,0.0,0.0
cressman,1,8.114785345920482E-4,0.0
AalmaMaria,1,8.114785345920482E-4,0.0
richsyamaha,0,0.0,0.0
JakeLewisAshton,0,0.0,0.0
filip beckers,0,0.0,0.0
elekdragon,0,0.0,0.0
docrock,6,8.114785345920482E-4,0.0
martyschutte,0,0.0,0.0
david1,7,8.114785345920482E-4,0.0
bkendig,8,8.114785345920482E-4,0.0
tgbauer,0,0.0,0.0
DavidFields,6,8.114785345920482E-4,0.0
MichaelPolinske,0,0.0,0.0
rsletten,0,0.0,0.0
mhamson,8,8.114785345920482E-4,0.0
sfmitch99,0,0.0,0.0
bjsvec,0,0.0,0.0
RichardLionheart,0,0.0,0.0
jbborgo,0,0.0,0.0
Mike-N-Tosh,3,8.114785345920482E-4,0.0
BillyRazzle1,4,8.114785345920482E-4,0.0
Talobab,0,0.0,0.0
adams_at,0,0.0,0.0
MarekNoga,0,0.0,0.0
Kuro,8,8.114785345920482E-4,0.0
ted0224,0,0.0,0.0
PK0702,0,0.0,0.0
reactivelight,4,8.114785345920482E-4,0.0
dougscriptr,0,0.0,0.0
jperkinson,0,0.0,0.0
Shulse,0,0.0,0.0
Ashutosh Sharma,0,0.0,0.0
xTIMMYxCOREx,10,8.114785345920482E-4,0.0
kaulbr,7,8.114785345920482E-4,0.0
Avatar26,0,0.0,0.0
michaelward82,7,8.114785345920482E-4,0.0
rosemarry,0,0.0,0.0
ClifMarsiglio,2,8.114785345920482E-4,0.0
greyf88,0,0.0,0.0
MacWerx,0,0.0,0.0
MarekPaju,0,0.0,0.0
CDNro,0,0.0,0.0
CamdenKrupala,0,0.0,0.0
jmmx2,0,0.0,0.0
PeterINova,6,8.114785345920482E-4,0.0
StevenRun,0,0.0,0.0
edgarpere,5,8.114785345920482E-4,0.0
joramoudenaarde,2,8.114785345920482E-4,0.0
TomMikele,5,8.114785345920482E-4,0.0
ColtonK.Schnack,0,0.0,0.0
gingermavy,3,8.114785345920482E-4,0.0
oz4test,0,0.0,0.0
scottjl,0,0.0,0.0
MrChristian,0,0.0,0.0
peter_casa,0,0.0,0.0
A_Guy,0,0.0,0.0
jmt73,2,8.114785345920482E-4,0.0
moo083,3,8.114785345920482E-4,0.0
MGL74,0,0.0,0.0
WilGenovese,0,0.0,0.0
FreddieFuentes,0,0.0,0.0
BluScarab,0,0.0,0.0
Mark A,0,0.0,0.0
MattStorms,0,0.0,0.0
FredFnord,0,0.0,0.0
RobertUnderstein,0,0.0,0.0
johnbrissenden,0,0.0,0.0
kyakalaska,0,0.0,0.0
RandyHill,7,8.114785345920482E-4,0.0
Daren_SF,0,0.0,0.0
Yacko,0,0.0,0.0
riclf,6,8.114785345920482E-4,0.0
David Selery,0,0.0,0.0
wealthychef,3,8.114785345920482E-4,0.0
babidibubidi,0,0.0,0.0
username,0,0.0,0.0
RobertLin,0,0.0,0.0
Jake,0,0.0,0.0
imac,1,8.114785345920482E-4,0.0
MacHacker83,0,0.0,0.0
DavidFell1,0,0.0,0.0
CyborgSam,0,0.0,0.0
BradleyDavis,6,8.114785345920482E-4,0.0
anchoragedj,4,8.114785345920482E-4,0.0
tqefc,0,0.0,0.0
ViewRoyal,0,0.0,0.0
clarkwgriswold,0,0.0,0.0
StuartHarcourt,0,0.0,0.0
unixandthings,0,0.0,0.0
å…¨å›½ä½“æ£€æžªæ‰‹ä»£äººä½“æ£€Q1259949978,4,8.114785345920482E-4,0.0
DavidSchloss,0,0.0,0.0
LaughingBoy48,0,0.0,0.0
sessamoid,0,0.0,0.0
shortyj05,0,0.0,0.0
johnnuneznj,7,8.114785345920482E-4,0.0
jebjeb2000,1,8.114785345920482E-4,0.0
randy,8,8.114785345920482E-4,0.0
falcon5768,3,8.114785345920482E-4,0.0
xgdrive,0,0.0,0.0
jayne r,15,8.114785345920482E-4,0.0
micah2g,0,0.0,0.0
MattEisen,0,0.0,0.0
_etruscan,0,0.0,0.0
DanielleBerges,0,0.0,0.0
frank.malloy,6,8.114785345920482E-4,0.0
brahmskeeper,0,0.0,0.0
PaulGans,13,8.114785345920482E-4,0.0
speedygonz,0,0.0,0.0
freediverx,0,0.0,0.0
tezgno,2,8.114785345920482E-4,0.0
ScottyPottie,0,0.0,0.0
JessicaSills,0,0.0,0.0
Monkeyknucklexx,6,8.114785345920482E-4,0.0
StevenMcMahon,7,8.114785345920482E-4,0.0
osama.salah,0,0.0,0.0
Mart,0,0.0,0.0
nestorix,0,0.0,0.0
JoshCarr,3,8.114785345920482E-4,0.0
robogobo,11,8.114785345920482E-4,0.0
helmsb,0,0.0,0.0
ameergittens,0,0.0,0.0
Eric LaRue,4,8.114785345920482E-4,0.0
twistedtech,0,0.0,0.0
emery,0,0.0,0.0
chin0y2k,0,0.0,0.0
ErikRogers,11,8.114785345920482E-4,0.0
JamesWong,0,0.0,0.0
StevenMatthews,0,0.0,0.0
SuperThiniPhone5Case,0,0.0,0.0
philster27,0,0.0,0.0
saintstryfe,0,0.0,0.0
macman851,3,8.114785345920482E-4,0.0
fletchergull,0,0.0,0.0
KevinBradley,0,0.0,0.0
RussellKolton,0,0.0,0.0
mdsharp,0,0.0,0.0
tomac14,0,0.0,0.0
Danny,0,0.0,0.0
FreeRange,8,8.114785345920482E-4,0.0
Jose1,5,8.114785345920482E-4,0.0
AaronS1984,0,0.0,0.0
Roger,3,8.114785345920482E-4,0.0
TristanThomas,0,0.0,0.0
yuusharo1,0,0.0,0.0
RandomPasserby,0,0.0,0.0
haincha,8,8.114785345920482E-4,0.0
dakatsmisccrap,0,0.0,0.0
rs,1,8.114785345920482E-4,0.0
abbasjack14,0,0.0,0.0
icontactyou,0,0.0,0.0
cole.hoffele,0,0.0,0.0
GeoCachingMan,0,0.0,0.0
mightyjabba,9,8.114785345920482E-4,0.0
ScottPeterson,0,0.0,0.0
Serraaaaah1,6,8.114785345920482E-4,0.0
Madd_the_Sane,0,0.0,0.0
ShillyDevane,5,8.114785345920482E-4,0.0
SweetMOforya,0,0.0,0.0
tbuddy,0,0.0,0.0
followlife,0,0.0,0.0
ohhmygod101,0,0.0,0.0
afscot,0,0.0,0.0
epenthesis,0,0.0,0.0
StevenMortensen,4,8.114785345920482E-4,0.0
CleverTrousers,0,0.0,0.0
SteveSmith1,2,8.114785345920482E-4,0.0
stevespacenyc,0,0.0,0.0
Mark2,6,8.114785345920482E-4,0.0
RobertKey,1,8.114785345920482E-4,0.0
stuart78,3,8.114785345920482E-4,0.0
ansonmah,0,0.0,0.0
HenkeBlomqvist,0,0.0,0.0
Neutral_Planet,3,8.114785345920482E-4,0.0
JohnO'Reilly,0,0.0,0.0
JasonBurroughs,3,8.114785345920482E-4,0.0
AnnaA.Uvarova,0,0.0,0.0
HeimeLipshitz,0,0.0,0.0
DamienMoye,7,8.114785345920482E-4,0.0
AaronBynion,0,0.0,0.0
xbreathexgx,0,0.0,0.0
Kyle1232,0,0.0,0.0
roblammers77,12,8.114785345920482E-4,0.0
JasonMHirst,4,8.114785345920482E-4,0.0
chaosz911,0,0.0,0.0
ikmultimedia,0,0.0,0.0
johnoeffinger75,0,0.0,0.0
Aber1Kanobee,0,0.0,0.0
ColinCastro,2,8.114785345920482E-4,0.0
sion.french.c3me,0,0.0,0.0
JCorrado,0,0.0,0.0
temp4joutube,0,0.0,0.0
j T,0,0.0,0.0
SteveJackson,6,8.114785345920482E-4,0.0
JKxZ,0,0.0,0.0
dromesburg,0,0.0,0.0
tastytuaw,2,8.114785345920482E-4,0.0
EaglesWings,0,0.0,0.0
josh.linder,8,8.114785345920482E-4,0.0
Clint,0,0.0,0.0
ClintJohnson,5,8.114785345920482E-4,0.0
thanatos,4,8.114785345920482E-4,0.0
GeorgeBenckenstein,5,8.114785345920482E-4,0.0
DylanChatland,0,0.0,0.0
KiP,4,8.114785345920482E-4,0.0
spuy767,0,0.0,0.0
fortinmike,0,0.0,0.0
collide007,6,8.114785345920482E-4,0.0
Kanaverum,0,0.0,0.0
mrbofus,0,0.0,0.0
ErikSagen,1,8.114785345920482E-4,0.0
wajhi,4,8.114785345920482E-4,0.0
chris2,8,8.114785345920482E-4,0.0
JanelleEWessel,0,0.0,0.0
JeffCronin,0,0.0,0.0
MatthewGerber,0,0.0,0.0
diamondsw,8,8.114785345920482E-4,0.0
Antony,0,0.0,0.0
thurmoa,6,8.114785345920482E-4,0.0
emmanuel.joseph2,0,0.0,0.0
fmcotton,0,0.0,0.0
ayatali,0,0.0,0.0
lewiskluttz,0,0.0,0.0
Nate,0,0.0,0.0
trickinfo.in,0,0.0,0.0
JonHaywood,0,0.0,0.0
PatCorriganCotter,0,0.0,0.0
Kevin8,0,0.0,0.0
TomCat,0,0.0,0.0
ForrestHicks,0,0.0,0.0
Tridus,0,0.0,0.0
_jorn,11,8.114785345920482E-4,0.0
chiodki,0,0.0,0.0
lucsky,0,0.0,0.0
pete,7,8.114785345920482E-4,0.0
wdowell,3,8.114785345920482E-4,0.0
AdrianvonGegerfelt,8,8.114785345920482E-4,0.0
JeremyHarris,2,8.114785345920482E-4,0.0
Dynax717,0,0.0,0.0
drewg,0,0.0,0.0
jlist,13,8.114785345920482E-4,0.0
dschloss,0,0.0,0.0
flywithsean,0,0.0,0.0
gruffgeek,1,8.114785345920482E-4,0.0
jnemesh,0,0.0,0.0
Zagig,0,0.0,0.0
DynamicAthena,0,0.0,0.0
RickBabusiak,0,0.0,0.0
CoreyB,0,0.0,0.0
NotThatBobJames2,0,0.0,0.0
RobDowdy,0,0.0,0.0
ChrisGiddings,6,8.114785345920482E-4,0.0
ManuelReis,0,0.0,0.0
VictorAgredaJr,10,8.114785345920482E-4,0.0
jhouk,0,0.0,0.0
wigu,0,0.0,0.0
ycc,0,0.0,0.0
DavidWalsh,0,0.0,0.0
TsunamiSam,0,0.0,0.0
ChrisPlumley,0,0.0,0.0
JonathanBaldwin,3,8.114785345920482E-4,0.0
msc1974,0,0.0,0.0
catsartcox,0,0.0,0.0
RuiGuerreiro,0,0.0,0.0
akeem.mcallister19,0,0.0,0.0
kenrich213,0,0.0,0.0
malletto,0,0.0,0.0
WonderMike,0,0.0,0.0
johnross1968,3,8.114785345920482E-4,0.0
theotherallen,0,0.0,0.0
kelmon,0,0.0,0.0
bluenix23,5,8.114785345920482E-4,0.0
IraHantz,0,0.0,0.0
Kevitivity,0,0.0,0.0
jweinraub,6,8.114785345920482E-4,0.0
dustin91,0,0.0,0.0
ricky_williams1,0,0.0,0.0
babak.fakhamzadeh,0,0.0,0.0
StevenHiggs,0,0.0,0.0
JLX,6,8.114785345920482E-4,0.0
trrosen,0,0.0,0.0
wesnuman8,1,8.114785345920482E-4,0.0
JesseArmstrong,8,8.114785345920482E-4,0.0
jpuent,0,0.0,0.0
TheTurch,0,0.0,0.0
timjump,0,0.0,0.0
wilstev,2,8.114785345920482E-4,0.0
Leather Rope,3,8.114785345920482E-4,0.0
meanlittlemonkey,0,0.0,0.0
blueballzz,0,0.0,0.0
mac_demon2,4,8.114785345920482E-4,0.0
Techsticles,3,8.114785345920482E-4,0.0
DanielPremo,3,8.114785345920482E-4,0.0
SteveMougeotte,0,0.0,0.0
strangepuppy,0,0.0,0.0
purefreebass,0,0.0,0.0
beken,0,0.0,0.0
tribalplague,6,8.114785345920482E-4,0.0
DallasKincaid,0,0.0,0.0
BlakePatterson,0,0.0,0.0
SniPerfidy,0,0.0,0.0
JohnBrown,0,0.0,0.0
djdede.jp,3,8.114785345920482E-4,0.0
flashinglights,0,0.0,0.0
hrvoje.gradecak,0,0.0,0.0
pstmd,0,0.0,0.0
TRSmudge,0,0.0,0.0
Digsbious,0,0.0,0.0
Jason Butler,0,0.0,0.0
GirlWithTheAppleTattoo,2,8.114785345920482E-4,0.0
junh10241,0,0.0,0.0
tombucknall,0,0.0,0.0
ClintAustin,0,0.0,0.0
monyhussein,0,0.0,0.0
ydiaz3,0,0.0,0.0
ToddJolley,7,8.114785345920482E-4,0.0
iliam,0,0.0,0.0
jim_hassett,0,0.0,0.0
DotComCTO,0,0.0,0.0
pbardet,0,0.0,0.0
TaWickli,0,0.0,0.0
IanGWatts,0,0.0,0.0
brianhardyman,0,0.0,0.0
groblewis,0,0.0,0.0
JThomasLambert,0,0.0,0.0
NickPapageorge,3,8.114785345920482E-4,0.0
shadowbottle,0,0.0,0.0
ahmedkabir31,7,8.114785345920482E-4,0.0
phillipduran,0,0.0,0.0
trilkin,0,0.0,0.0
DaddyGeekTweet,0,0.0,0.0
KennethLien,0,0.0,0.0
NoToTheRight,4,8.114785345920482E-4,0.0
ToddBernhard,6,8.114785345920482E-4,0.0
Tom1,0,0.0,0.0
chrisash,0,0.0,0.0
RodDavis,0,0.0,0.0
dzandian,5,8.114785345920482E-4,0.0
iliketobowl,0,0.0,0.0
aphex187,0,0.0,0.0
dilute37,0,0.0,0.0
otheroom,5,8.114785345920482E-4,0.0
ksuyen,0,0.0,0.0
xz,3,8.114785345920482E-4,0.0
ghmason,1,8.114785345920482E-4,0.0
CristofKander,0,0.0,0.0
bertjriviere,0,0.0,0.0
spalyl,0,0.0,0.0
aicapgroup,2,8.114785345920482E-4,0.0
raymondpettitt,0,0.0,0.0
WestCoastStar,0,0.0,0.0
pjosborne,0,0.0,0.0
AlIverson,2,8.114785345920482E-4,0.0
moog,0,0.0,0.0
rodney777,0,0.0,0.0
corb555,0,0.0,0.0
JBB858,0,0.0,0.0
kirsch,8,8.114785345920482E-4,0.0
JeanFradet,0,0.0,0.0
ZachWeisman,0,0.0,0.0
alan__chow,0,0.0,0.0
newsalertbc,0,0.0,0.0
rethciR,0,0.0,0.0
os2baba,0,0.0,0.0
jstngoulet,0,0.0,0.0
kylefarris,0,0.0,0.0
GaryHowie,0,0.0,0.0
tcline,0,0.0,0.0
jonriggall,0,0.0,0.0
xcsdm,0,0.0,0.0
ben.pupa,0,0.0,0.0
pi_squared,0,0.0,0.0
indyh,0,0.0,0.0
MikeAnderson1,0,0.0,0.0
WiTopia,0,0.0,0.0
rekkart,0,0.0,0.0
MikeShyu,0,0.0,0.0
CeceliaBaines,5,8.114785345920482E-4,0.0
Aronious7,0,0.0,0.0
jonhendry,0,0.0,0.0
jessejj,0,0.0,0.0
